Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange,msUntilRenderStart,msGPUActive,msSinceInput
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.04011600000000,0.26840000000000,17.20250000000000,0,Hardware: Legacy Flip,0.54970000000000,15.69930000000000,16.63340000000000,-16.90070000000000,0.62690000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.14022280000000,0.29130000000000,100.10680000000001,0,Hardware: Legacy Flip,0.58240000000000,15.68870000000000,100.09620000000000,-99.55710000000001,0.69390000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.15688540000000,0.28710000000000,16.66260000000000,0,Hardware: Legacy Flip,0.63000000000000,15.63470000000000,16.60860000000000,-16.08020000000000,0.64310000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.24020440000000,0.22360000000000,83.31900000000000,0,Hardware: Legacy Flip,0.56480000000000,15.68480000000000,83.36910000000000,-82.68899999999999,0.60850000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.25607110000000,0.04330000000000,15.86670000000000,0,Hardware: Legacy Flip,0.24610000000000,16.43420000000000,16.61610000000000,-15.30190000000000,0.48140000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.35708170000000,0.28850000000000,101.01060000000000,0,Hardware: Legacy Flip,0.60520000000000,15.54370000000000,100.12009999999999,-100.76450000000000,0.58110000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.37360700000000,0.25610000000000,16.52530000000000,0,Hardware: Legacy Flip,0.57320000000000,15.55890000000000,16.54050000000000,-15.92010000000000,0.63270000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.47376230000000,0.28250000000000,100.15530000000000,0,Hardware: Legacy Flip,0.77370000000000,15.53630000000000,100.13270000000000,-99.58210000000000,0.83000000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.57377020000000,0.29890000000000,100.00790000000001,0,Hardware: Legacy Flip,0.62390000000000,15.53840000000000,100.01000000000001,-99.23420000000000,0.68360000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.59033290000000,0.25780000000000,16.56270000000000,0,Hardware: Legacy Flip,0.59440000000000,15.51390000000000,16.53820000000000,-15.93880000000000,0.64900000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.69029430000000,0.25090000000000,99.96140000000000,0,Hardware: Legacy Flip,0.56410000000000,15.69770000000000,100.14520000000000,-99.36700000000000,0.63070000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.70691250000000,0.22750000000000,16.61820000000000,0,Hardware: Legacy Flip,0.58500000000000,15.64060000000000,16.56110000000000,-16.05410000000000,0.61540000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.78961170000000,0.04140000000000,82.69920000000000,0,Hardware: Legacy Flip,0.30170000000000,16.37780000000000,83.43640000000001,-82.11420000000000,0.51600000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.80691580000000,0.23440000000000,17.30410000000000,0,Hardware: Legacy Flip,0.51690000000000,15.61010000000000,16.53640000000000,-17.00240000000000,0.75830000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.88970540000000,0.13950000000000,82.78959999999999,0,Hardware: Legacy Flip,0.39940000000000,16.22990000000000,83.40940000000001,-82.27270000000000,0.63270000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.90617890000000,0.06420000000000,16.47350000000000,0,Hardware: Legacy Flip,0.26840000000000,16.36110000000000,16.60470000000000,-16.07410000000000,0.42160000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,0.99044130000000,0.27520000000000,84.26240000000000,0,Hardware: Legacy Flip,0.58260000000000,15.57640000000000,83.47770000000000,-83.99400000000000,0.55150000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,1.00627400000000,0.04210000000000,15.83270000000000,0,Hardware: Legacy Flip,0.30530000000000,16.26510000000000,16.52140000000000,-15.25010000000000,0.53950000000000,0.00000000000000
dwm.exe,1328,0x0000022DFCE397F0,DXGI,1,0,0,1.10697580000000,0.24920000000000,100.70180000000001,0,Hardware: Legacy Flip,0.59290000000000,15.69150000000000,100.12820000000001,-100.39650000000000,0.59220000000000,0.00000000000000
