Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,AllInputToPhotonLatency,ClickToPhotonLatency
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,312.1558,16.5821,16.3883,0.1938,0.2051,16.5336,0.4714,16.0622,32.3183,16.6645,0.3271,312.1558,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,279.0828,16.5096,16.3343,0.1753,33.4932,15.9439,0.7040,15.2399,65.3927,16.6643,-0.0635,279.0828,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,328.7379,16.6849,16.5352,0.1497,0.1566,16.7253,0.4469,16.2784,32.4007,16.6049,-0.0824,328.7379,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,295.5924,17.1451,16.9080,0.2371,33.4162,15.9952,0.6057,15.3895,65.5474,16.6045,-0.1547,295.5924,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,345.4228,16.9803,16.7512,0.2291,0.1970,16.9266,0.4957,16.4309,32.3207,16.6883,0.0800,345.4228,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,312.7375,16.3859,16.2029,0.1830,33.1615,15.7921,0.7106,15.0815,65.0068,16.6882,0.5406,312.7375,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,362.4031,16.1141,15.9318,0.1823,0.1433,16.2134,0.4917,15.7217,32.0287,16.6535,0.2920,362.4031,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,329.1234,16.9648,16.6645,0.3003,34.0190,15.0537,0.5534,14.5003,65.3091,16.6537,-0.3023,329.1234,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,378.5172,16.9246,16.7479,0.1767,0.2426,19.5524,0.6741,18.8783,32.5681,16.6476,-0.5394,378.5172,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,346.0882,17.2473,16.8927,0.3546,33.3756,20.1835,1.3500,18.8335,64.9980,16.6473,0.3111,346.0882,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,395.4418,16.9447,16.7078,0.2369,2.8704,14.2367,0.9955,13.2412,32.2911,16.6760,0.2770,395.4418,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,363.3355,16.2691,16.0035,0.2656,47.8259,0.4002,0.4002,0.0000,64.3980,16.6761,0.6000,363.3355,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,412.3865,16.1676,16.0438,0.1238,0.1624,18.4058,0.8698,17.5360,32.0224,16.6216,0.2687,412.3865,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,379.6046,20.9813,16.3061,4.6752,33.4215,15.1484,0.6528,14.4956,64.8050,16.6213,-0.4070,379.6046,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,428.5541,16.8341,16.6565,0.1776,2.4006,14.8875,0.8217,14.0658,32.4764,16.6011,-0.4540,428.5541,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,400.5859,12.7100,12.3231,0.3869,43.8882,0.3823,0.3823,0.0000,60.4450,16.6019,4.3600,400.5859,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,445.3882,16.5702,16.3854,0.1848,0.4540,19.9256,1.1497,18.7759,32.2434,16.7920,0.2330,445.3882,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,413.2959,40.7378,40.4917,0.2461,40.5966,7.5952,0.7519,6.8433,64.3369,16.7915,-3.8919,413.2959,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,461.9584,17.9505,17.7598,0.1907,3.8094,14.4075,0.6822,13.7253,32.4652,16.6737,-0.2218,461.9584,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,454.0337,1.1395,0.9557,0.1838,8.9406,16.6078,0.6014,16.0064,40.3906,16.6739,23.9463,454.0337,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,479.9089,15.7257,15.5680,0.1577,0.2664,17.0530,0.6480,16.4050,31.1884,16.6513,1.2768,479.9089,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,455.1732,7.6029,7.4038,0.1991,24.8579,14.8636,0.5135,14.3501,55.9250,16.6515,-15.5344,455.1732,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,495.6346,16.4691,16.3090,0.1601,1.5937,15.1159,0.5394,14.5765,32.1140,16.6823,-0.9256,495.6346,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,462.7761,17.2450,16.9448,0.3002,33.4413,15.3378,0.7149,14.6229,64.9736,16.6819,-9.0486,462.7761,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,512.1037,16.6165,16.4482,0.1683,0.2405,17.2717,0.6824,16.5893,32.3272,16.6603,-0.2132,512.1037,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,480.0211,15.9438,15.6571,0.2867,32.5050,15.6847,0.5561,15.1286,64.4105,16.6601,0.5631,480.0211,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,528.7202,16.7045,16.5521,0.1524,0.8957,16.0582,0.6639,15.3943,32.3710,16.6790,-0.0438,528.7202,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,495.9649,16.6816,16.4849,0.1967,33.5413,15.4273,0.6805,14.7468,65.1268,16.6790,-0.7163,495.9649,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,545.4247,16.6933,16.5334,0.1599,0.2494,16.6447,0.5567,16.0880,32.3455,16.6558,0.0255,545.4247,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,512.6465,17.0158,16.7103,0.3055,33.3584,15.5593,0.6979,14.8614,65.1242,16.6560,0.0026,512.6465,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,562.1180,16.3958,16.2716,0.1242,0.2008,16.5365,0.6707,15.8658,32.3080,16.6958,0.0375,562.1180,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,529.6623,16.5475,16.2155,0.3320,33.4628,15.1530,0.5531,14.5999,64.7644,16.6959,0.3598,529.6623,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,578.5138,16.5959,16.4808,0.1151,0.3415,16.5371,0.6871,15.8500,32.6080,16.6402,-0.3000,578.5138,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,546.2098,17.0244,16.7410,0.2834,32.6991,15.9830,0.7188,15.2642,64.9128,16.6401,-0.1484,546.2098,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,595.1097,16.7127,16.6080,0.1047,0.2827,16.7643,0.7105,16.0538,32.6523,16.6924,-0.0443,595.1097,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,563.2342,15.7790,15.5983,0.1807,32.6483,15.7038,0.6007,15.1031,64.5285,16.6923,0.3843,563.2342,NA,NA
