Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,AllInputToPhotonLatency,ClickToPhotonLatency
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,11.5060,16.6517,16.5490,0.1027,0.1950,16.7701,0.5793,16.1908,32.7620,16.6730,0.0000,11.5060,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,28.1577,17.2385,17.0912,0.1473,0.3134,17.0674,0.4202,16.6472,32.7833,16.6525,-0.0213,28.1577,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,45.3962,16.9786,16.8133,0.1653,0.1423,16.9805,0.4581,16.5224,32.1973,16.6720,0.5860,45.3962,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,62.3748,16.4537,16.2838,0.1699,0.1442,16.4859,0.4962,15.9897,31.8907,16.6714,0.3066,62.3748,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,78.8285,16.2708,16.1395,0.1313,0.1764,16.2279,0.4294,15.7985,32.1084,16.5428,-0.2177,78.8285,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,95.0993,16.7792,16.5798,0.1994,0.1335,16.7897,0.4406,16.3491,32.3804,16.7193,-0.2720,95.0993,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,111.8785,17.2344,17.1049,0.1295,0.1440,18.9931,0.4688,18.5243,32.3205,16.7407,0.0599,111.8785,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,129.1129,15.9756,15.8282,0.1474,1.9027,14.2279,0.4655,13.7624,31.8268,16.5858,0.4937,129.1129,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,145.0885,16.7463,16.5882,0.1581,0.1550,16.7202,0.5326,16.1876,32.4370,16.7639,-0.6102,145.0885,NA,NA
electron.exe,19372,0x275CB5BA0E0,DXGI,0,0,0,Composed: Flip,113.3124,72.8910,72.4888,0.4022,72.7647,1.1700,1.1700,0.0000,NA,NA,NA,NA,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,161.8348,16.5114,16.3420,0.1694,0.1289,16.6436,0.3924,16.2512,32.4546,16.6673,-0.0176,161.8348,NA,NA
electron.exe,19372,0x275CB5BA0E0,DXGI,0,0,0,Composed: Flip,186.2034,1.6630,1.3136,0.3494,1.0437,0.9164,0.4496,0.4668,24.7533,16.7189,0.0000,186.2034,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,178.3462,18.1997,18.0654,0.1343,0.2611,18.7490,0.4181,18.3309,32.6105,16.7189,-0.1559,178.3462,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,196.5459,15.8989,15.6818,0.2171,0.8104,15.2468,0.6332,14.6136,31.1297,16.6754,1.4808,196.5459,NA,NA
electron.exe,19372,0x275CB5BA0E0,DXGI,0,0,0,Composed: Flip,187.8664,8.5099,8.2169,0.2930,8.3550,1.9644,1.3993,0.5651,39.8092,33.3418,-15.0559,187.8664,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,212.4448,16.4624,16.2934,0.1690,0.1583,17.1697,0.5449,16.6248,31.9062,16.6664,-0.7765,212.4448,NA,NA
