Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,AllInputToPhotonLatency,ClickToPhotonLatency
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,11.4843,16.7970,16.6625,0.1345,0.1560,16.8233,0.4481,16.3752,32.7125,16.6656,0.0000,11.4843,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,28.2813,16.8990,16.7773,0.1217,0.1823,16.8738,0.4068,16.4670,32.5811,16.5479,0.1314,28.2813,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,45.1803,16.6072,16.4491,0.1581,0.1571,16.6088,0.4812,16.1276,32.2300,66.6818,0.3511,45.1803,NA,NA
electron.exe,17108,0x1B5B0F4D1B0,DXGI,0,0,0,Composed: Flip,113.5396,65.7703,65.4883,0.2820,65.6884,1.1213,1.1213,0.0000,NA,NA,NA,NA,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,61.7875,68.0115,67.8864,0.1251,0.1587,68.0020,0.4844,67.5176,82.3046,66.8174,-50.0746,61.7875,NA,NA
electron.exe,17108,0x1B5B0F4D1B0,DXGI,0,0,0,Composed: Flip,179.3099,3.0478,0.6583,2.3895,1.4909,0.5456,0.5456,0.0000,31.5996,16.6852,0.0000,179.3099,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,129.7990,66.6648,66.4486,0.2162,0.1492,66.5280,0.4280,66.1000,81.1105,16.6852,1.1941,129.7990,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,2,0,Hardware: Legacy Flip,196.4638,15.3247,15.2063,0.1184,0.0124,0.4346,0.4346,0.0000,31.1309,33.3186,49.9796,196.4638,NA,NA
electron.exe,17108,0x1B5B0F4D1B0,DXGI,0,0,0,Composed: Flip,182.3577,12.9258,12.7773,0.1485,12.8602,0.7520,0.7060,0.0460,45.2370,49.9776,-13.6374,182.3577,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,211.7885,35.1990,35.0529,0.1461,35.3621,0.2151,0.1785,0.0366,49.1248,16.6590,-17.9939,211.7885,NA,NA
