Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,AllInputToPhotonLatency,ClickToPhotonLatency
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,9.7735,17.0038,16.8363,0.1675,0.1782,16.9829,0.4421,16.5408,32.7140,16.6864,0.0000,9.7735,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,26.7773,17.4541,17.2918,0.1623,0.1573,17.4029,0.3985,17.0044,32.3966,16.7786,0.3174,26.7773,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,44.2314,16.0341,15.9126,0.1215,0.1061,16.0833,0.4243,15.6590,31.7211,16.6785,0.6755,44.2314,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,60.2655,16.7167,16.5370,0.1797,0.1553,16.7520,0.4724,16.2796,32.3655,16.5301,-0.6444,60.2655,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,76.9822,16.8009,16.5789,0.2220,0.1906,16.7313,0.4437,16.2876,32.1789,16.6676,0.1866,76.9822,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,93.7831,16.3225,16.2003,0.1222,0.1210,16.4590,0.4200,16.0390,32.0456,16.7343,0.1333,93.7831,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,110.1056,17.3422,17.1746,0.1676,0.2575,17.2577,0.4185,16.8392,32.4574,16.6114,-0.4118,110.1056,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,127.4478,16.1137,15.9033,0.2104,0.1730,16.0424,0.4352,15.6072,31.7266,16.6831,0.7308,127.4478,NA,NA
electron.exe,7420,0x2C20E98BD70,DXGI,0,0,0,Composed: Flip,110.1147,54.3866,53.9111,0.4755,54.2362,1.1774,1.1774,0.0000,NA,NA,NA,NA,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,143.5615,16.5804,16.3967,0.1837,0.1017,16.6381,0.4566,16.1815,32.2960,16.7636,-0.5694,143.5615,NA,NA
electron.exe,7420,0x2C20E98BD70,DXGI,0,0,0,Composed: Flip,164.5013,1.6854,1.4276,0.2578,1.0724,0.9602,0.7735,0.1867,28.1198,16.6826,0.0000,164.5013,NA,NA
